Judge_Point_ID,Common_Point_ID,Patch_ID,OHRC_tile_id,IIRS_row,IIRS_col,Common_Latitude,Common_Longitude,OHRC_distance_deg,IIRS_distance_deg,OHRC_IIRS_distance_deg,Max_Sensor_Separation_deg,Consistency_Score
JUDGE_0093,CP_000138,13689,12415,394,244,60.27371847967217,355.44291290946677,0.0007364630043441694,0.0015987164496962104,0.0009522573312674695,0.0015987164496962104,0.9389230845624492
JUDGE_0094,CP_000140,13771,12547,397,241,60.26574027750167,355.4260269222455,0.0015793579914838434,0.0015354764247381906,0.00020259936930954497,0.0015793579914838434,0.9387901027873072
JUDGE_0095,CP_000143,11781,9355,327,247,60.45413416189914,355.4605691827999,0.0009488888790336659,0.0007071620077218053,0.0016373077975184991,0.0016373077975184991,0.9383666689775941
JUDGE_0096,CP_000144,12113,9896,339,247,60.42229508612703,355.46120199651796,0.0016018682340809478,0.0010605557370634584,0.0006722874265617219,0.0016018682340809478,0.9382927546026616
JUDGE_0097,CP_000145,6629,1047,145,229,60.942171380289544,355.35844616347646,0.0012196327553199119,0.0013205440770337172,0.0010790158327314446,0.0013205440770337172,0.9382532907235152
JUDGE_0098,CP_000147,6632,1057,145,238,60.942227387688966,355.4108714000394,0.0011305102249231887,0.0007746333451580836,0.0015244460590339054,0.0015244460590339054,0.9380745538981364
JUDGE_0099,CP_000150,12193,10021,342,238,60.41427963975278,355.4091736473961,0.0011722303581397254,0.0016127066503234594,0.0005870157097475694,0.0016127066503234594,0.9376917578933224
JUDGE_0100,CP_000152,14435,13628,421,241,60.20206579470128,355.4256069533614,0.000878962991739191,0.0015923305157909576,0.0009246612714933176,0.0015923305157909576,0.9376464338148196
JUDGE_0101,CP_000155,10615,7450,286,235,60.56460027325763,355.3922533165608,0.0012063418179343766,0.0011728316491179398,0.0013169744233300351,0.0013169744233300351,0.9373359710785951
JUDGE_0102,CP_000156,12025,9744,336,232,60.43016106984586,355.3746157554592,0.0009513282740167756,0.0016429889700412567,0.000778007754483004,0.0016429889700412567,0.9373085753927214
JUDGE_0103,CP_000158,6797,1324,151,235,60.92629045029488,355.39347589323216,0.0015204208277743432,0.0007626702946655366,0.0012273730779910044,0.0015204208277743432,0.9371139371474346
JUDGE_0104,CP_000159,6877,1449,154,226,60.91827411392702,355.34081742540485,0.0010997691026151872,0.001513973193720396,0.000919258831417397,0.001513973193720396,0.9369128209815827
JUDGE_0105,CP_000160,6464,780,139,232,60.958111066544255,355.3758463949566,0.0008019487496996587,0.001316075398216912,0.0014716414839984913,0.0014716414839984913,0.9367336610510806
JUDGE_0106,CP_000161,11697,9217,324,244,60.46207268652864,355.44414645540786,0.0016627570000053043,0.0008487338004378413,0.0008962730041603405,0.0016627570000053043,0.9366184899423902
JUDGE_0107,CP_000163,14518,13763,424,241,60.194105338461306,355.4253353678303,0.00016873949507835418,0.001690060200887892,0.0015350645799832971,0.001690060200887892,0.9364509440395321
JUDGE_0108,CP_000166,7874,3029,189,229,60.82455528078651,355.3582841642222,0.0015938929083469024,0.0013711352472366627,0.0005728192905410612,0.0015938929083469024,0.9358532455691058
JUDGE_0109,CP_000168,14267,13351,415,235,60.21794636403792,355.3912345518861,0.0008504797184793221,0.001606960362418242,0.0010829007488121285,0.001606960362418242,0.9356587350984008
JUDGE_0110,CP_000169,13851,12672,400,232,60.25772209234066,355.37420556692797,0.0012767774073232827,0.0016191373069356458,0.0006466100380678331,0.0016191373069356458,0.9354792242592199
JUDGE_0111,CP_000171,7131,1826,163,241,60.89537004732543,355.4280229567484,0.0013277490677466696,0.00045580328574197475,0.0017003124601077473,0.0017003124601077473,0.9351977840786982
JUDGE_0112,CP_000172,11117,8274,304,247,60.51691383016876,355.4610283253378,0.00047992711203109767,0.0012868115278492126,0.0017106097771053116,0.0017106097771053116,0.9351505225738633
